,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cusip_count,755.0,870.0,836.0,703.0,590.0,491.0,419.0,327.0,271.0,217.0,160.0,98.0,62.0,48.0,46.0,46.0,40.0,32.0,30.0,29.0
issuance_avg,992.1386004763743,983.6365618539182,992.3361782226167,978.944561106175,995.8839825534409,1028.1395724138056,1069.3892261641956,1096.5102007117362,1097.0683458941458,1055.6171565362863,1060.5338664027001,1075.3377126188263,1027.7807710105478,1110.0827698336313,1127.303676025283,1206.4771939256132,1204.7053725796989,1316.6394009292155,1439.1148767455982,1557.78424218336
issuance_median,749.46,749.3925,794.104,796.84,797.88,847.9685,990.48,992.35,988.7,847.603,896.175,845.563,742.5,742.5,742.5,986.51,988.7,988.7,991.665,994.63
issuance_std,739.3755529460863,715.8448022131017,699.0316343418805,661.5460745320923,678.0706097488993,705.6412361059982,738.8504702192095,777.9900298007934,808.5559137491666,828.1345362740348,802.2117972010357,848.5066639796974,935.9986406221649,1012.0717543289824,1030.470323908013,1063.0700388463576,1070.926388991912,1181.5060637606261,1278.2172840068702,1313.3776985920754
n_mr_avg,5.767908499205328,5.577331220441611,5.511320449321809,5.199051906905834,5.121951219512195,5.502057985435795,6.320320824813524,6.330477669193534,6.2687100459395735,6.900253282676798,7.544805376645197,8.0724012709941,8.068496478017975,7.97785599061446,8.025374310480693,8.150447042640991,8.348198594024604,7.83995990644838,7.750524842547236,7.932372831520141
n_mr_median,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0
n_mr_std,2.29946157294559,2.3219314509756037,2.3632006889883397,2.19122974463695,2.2710726646233694,2.3520353249001693,2.1152667150983357,2.036039986518333,2.001338944381963,2.076687225092709,1.9422404851468202,1.9116783290393269,2.068291377490873,1.8841348809782226,1.8204784170895842,1.7872847368203684,1.814581507919657,1.6755896076161738,1.6890932852462537,1.7269869844573764
tmt_avg,6.803956492319344,6.300965029776892,5.655257412189956,5.124612280413811,4.968622045278819,4.653691897839094,4.576428343264134,4.628978066310596,4.598629407774616,5.326719395115157,6.67658261937832,8.331917862838916,10.686361620090763,11.338629736634433,10.690209146997226,10.602620812993154,10.422744042972381,9.889943371628778,8.889818804799953,8.058411105926272
tmt_median,4.861111111111111,4.563888888888889,4.1,3.7472222222222222,3.6805555555555554,3.422222222222222,3.1222222222222222,2.661111111111111,2.158333333333333,1.9444444444444444,1.9055555555555554,4.611111111111111,12.944444444444445,12.722222222222221,11.844444444444445,11.280555555555555,10.7,10.875,9.977777777777778,9.302777777777777
tmt_std,6.339305251441114,6.222242453339508,5.836804505389636,5.446216672124062,5.473038606863202,5.416241202819744,5.550765863570623,5.930876258504965,6.233639026823377,7.1289340316157634,7.923856328917089,8.057864139409643,7.333125064449644,6.50360772435256,6.18492794107113,5.924450352685338,4.921031467349088,3.5204649066853406,3.6175165772039173,3.370950096858861
