,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cusip_count,14176.0,16299.0,16848.0,16691.0,16898.0,16666.0,16015.0,16116.0,15538.0,15977.0,15837.0,16285.0,17192.0,17476.0,19456.0,21231.0,23549.0,26800.0,28923.0,31182.0
issuance_avg,503.47629759875053,539.1752151157609,578.808925149028,596.4447877683003,632.5278290846821,714.0116253809175,731.4464741037584,719.0808538116383,725.7959672280512,725.7424989945757,715.7434177617902,748.5444982747629,786.7587156713809,830.6112258259158,840.7871444604692,835.7661684003357,824.1788868031057,815.5646094292528,802.9199818874889,772.1763703364096
issuance_median,299.76,349.4225,399.284,447.0255,496.79,499.025,498.925,498.5,499.015,499.42,499.47,500.0,591.09,598.404,599.454,599.7059999999999,599.382,599.802,599.808,598.86
issuance_std,549.5080402080225,560.1220797973962,573.6070991358605,573.2678946960469,595.7401863420405,688.3819154609484,740.0480765344253,724.837132845065,712.1397988072663,663.721929726847,654.2297966825702,718.4979532911223,721.5885200822529,784.2149165830707,776.23201938582,765.6804522758761,758.5384357140651,745.1385042087314,735.6360254170902,691.1578865161165
n_mr_avg,8.482802960222017,8.508066323101053,8.548405925705028,8.659460576810735,8.498668956967476,8.49162376476441,8.860847531727021,8.923508570039983,8.899176498929782,9.081640263908561,9.15811825000237,9.175102801834635,9.043519535131992,8.970061103634183,8.752635384628404,8.652814787880104,8.521273278128445,8.400718696301091,8.203519501403967,8.00318720552355
n_mr_median,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
n_mr_std,4.280684638983594,4.382675034913694,4.390957946783702,4.402948761381595,4.48809213224828,4.4263327855792545,4.193429776455126,4.031103148325364,3.9651156847670164,3.7859290036471602,3.5974205544630364,3.608309733456352,3.5191422258270686,3.5912546251797806,3.445975767719253,3.3165451819022675,3.156554587478621,3.04733632641712,2.8063757370136044,2.673275238321737
tmt_avg,8.363868796361576,8.01346473100013,7.521352806194892,7.507118683500813,7.827748823137375,7.770917095388021,7.922509624883829,8.081653356257021,8.167553732346622,8.354703953572132,8.424883929976689,8.400623537687203,8.504324478684433,8.600621992689295,8.530845639664115,8.578305677327926,8.996875705062084,9.70566753297108,10.112718922928822,9.964452728639026
tmt_median,5.541666666666667,5.580555555555556,5.447222222222222,5.366666666666666,5.411111111111111,5.113888888888889,5.075,5.2027777777777775,5.497222222222222,5.658333333333333,5.711111111111111,5.836111111111111,5.788888888888889,5.663888888888889,5.447222222222222,5.241666666666666,5.413888888888889,5.872222222222222,6.213888888888889,6.05
tmt_std,8.52866996781481,8.165193032060502,7.752665501000926,7.907233113606257,8.242595952793012,8.110468578653759,8.290699309963031,8.570486950182852,8.639911131726851,8.854907654414385,8.696835903471534,8.733573819636232,8.749609775142805,8.992136536833229,9.113686156671886,9.16839792286286,9.620233609222502,10.051521662625364,10.15597333383529,10.134429801508931
coupon_avg,7.015283976930668,6.779408317858874,6.526922386576464,6.417695176654226,6.330465339377162,6.270171929588944,6.209929429505349,6.121513442704759,5.863266509835043,5.626415670515853,5.221922382763874,4.936114595054924,4.71970483548886,4.545256130760578,4.339117777777778,4.24565441330003,4.220413083294436,4.038777483916334,3.798855133889782,3.7703084618150022
coupon_median,7.0,6.875,6.625,6.46,6.25,6.15,6.15,6.125,5.95,5.75,5.5,5.05,4.75,4.5,4.25,4.05,4.0,3.875,3.7,3.7
coupon_std,1.7144814134907507,1.8733796981435247,1.9137196580038862,1.8777035518660568,1.858205605046394,1.797643128975738,1.8860259035319586,2.03114614507244,2.2404864973933343,2.332854221937082,2.4165000526698384,2.348267607068687,2.182956327628149,2.058517824160926,1.9594752696507798,1.7884660486948603,1.6575237795428057,1.6316066521738437,1.6812225201002655,1.6611505898354573
age_avg,4.369127460807287,4.3183369786527255,4.423963630405952,4.559068847900456,4.647012746086972,4.6794127495893765,4.646378111722611,4.7008081816706015,4.484026170072647,4.419734050500122,4.287409488042136,4.200682840095147,4.234390077668464,4.410035951678235,4.5354847480244365,4.642436690963931,4.907344007323846,4.7531071978392685,4.769537932838127,5.147441177818256
age_median,3.767123287671233,3.2383561643835614,3.419178082191781,3.6246575342465754,3.7726027397260276,3.802739726027397,3.638356164383562,3.5205479452054793,3.232876712328767,2.9835616438356163,2.778082191780822,2.767123287671233,2.8958904109589043,3.164383561643836,3.326027397260274,3.547945205479452,3.824657534246575,3.632876712328767,3.4684931506849317,3.578082191780822
age_std,3.6009282651220196,3.663201235368389,3.6889351922854314,3.790047138369479,3.9647033126861113,4.070661708883449,4.137265340882725,4.329213844806709,4.378705535088185,4.458823987668701,4.497861158226535,4.446405389236842,4.430572683935951,4.47363610990471,4.587641286517955,4.535963488764614,4.696417052752079,4.837096231026489,4.9711169413385115,5.18241309506388
turnover_avg,16.35862102065364,15.169971559375563,12.745079592445151,10.421674758836968,9.614977653782931,114.49624102386483,883.8797266230449,2277.9605972961544,3467.195650436148,493.45526632134937,50.7567401228261,inf,inf,inf,inf,inf,inf,inf,inf,inf
turnover_median,7.128422653287848,6.779699582735209,5.8122172629542685,5.693770307673794,4.878317145629319,4.6900045845924225,6.004,4.8608278042346695,4.859473615556737,4.337871515444242,4.590627416714374,4.518776405101816,4.171911904233199,4.185138258074112,4.039544629510997,3.9686589285892944,4.171596236407621,4.714569061786422,4.5,4.724447012710609
turnover_std,106.15674029578439,92.73704005800853,41.052385275197565,18.443516090834322,38.881466557874354,4967.857734136351,15748.295189748249,78470.27251510987,72270.48962352387,127475.41844564222,807.6265864685516,,,,,,,,,
trade_size_avg,772.6977216879264,708.53324981082,503.23391762985597,388.707274217214,365.482066641577,250.36135543965395,185.79725640512544,211.66861033322598,234.526303047719,216.11396388932135,240.74486105047973,250.4692612000224,197.1216387429034,182.6017325400681,205.88609524285496,167.65212414294186,178.7851628279995,139.64846546586685,158.61472521634747,115.81763675856854
trade_size_median,412.4674567029697,360.02394769230773,286.1135050113964,244.21881687407407,207.20485156122456,134.4757289189189,100.29436503782779,117.99646163771106,132.6406683898305,115.53328536621453,118.11969566869718,129.43366636895723,84.26014910880436,66.23500474400001,53.15608108034403,37.62069770761363,42.581472972339,34.4827246484215,38.34506558823529,32.81999301323529
trade_size_std,2162.019744940529,5377.312603497586,1147.3549092761175,435.3542023695932,475.84882869520146,339.308546634926,257.9929639498016,280.0161589081582,315.00583946019213,274.9099399517716,334.6935347105901,349.1572661310194,306.8837664648571,310.001946258264,402.55824531850357,387.07889707558564,514.4434830840235,253.88765255886366,372.1051650769817,193.1388350621604
#trade_avg,366.07541338278475,319.6647907500256,344.66483059654956,285.4646280791166,264.57560410939084,412.9934719120426,601.2475506205095,451.8309589041096,385.8573842514363,349.03164556962025,308.0865257595773,229.26351351351352,196.85677419354838,232.48221906116643,219.711964549483,225.62798092209857,272.8989361702128,269.41379310344826,184.8297455968689,236.5398406374502
#trade_median,234.0,209.0,198.0,189.0,178.0,244.0,358.0,297.0,247.0,216.0,217.0,161.0,135.0,159.0,166.0,167.0,164.0,162.5,144.0,162.0
#trade_std,529.6292114076028,357.3509911121029,555.3737626344164,289.1344070366116,270.8751246905114,563.7884674590732,780.4016384101313,539.1980908473015,538.3639371361219,551.7531049497723,333.5195891821433,225.78315247779759,208.36772770950165,226.09202399878353,232.0800426637147,213.4787722987714,362.6845955897282,427.9695861184513,156.4250631080791,239.99710037830548
Avg_return_avg,0.2934726607900549,0.04404366183267911,-0.525396969029931,-0.20556675757714882,-0.4335385049295107,-3.0878894633547453,1.130151909302788,0.9203963023881456,0.056002825805851766,0.953201113275974,0.412371327796423,0.5636281012713557,-0.4096194584147302,-0.025729585679802058,1.853689232116449,-0.14756797599232954,1.852797384449657,1.139758062161009,4.360077705007454,-3.2054098110268963
